Job,2015,2014,2013,2012,2011,Industry
"Molders and molding machine setters, operators, and tenders, metal and plastic",,,37284,,,Production occupations
"Multiple machine tool setters, operators, and tenders, metal and plastic",,,,,,Production occupations
Tool and die makers,,53040,47216,52260,47840,Production occupations
"Welding, soldering, and brazing workers",39520,37596,37596,37024,35308,Production occupations
"Metal workers and plastic workers, all other",33228,32448,30784,32136,29172,Production occupations
Printing press operators,36764,33592,34112,32656,31876,Production occupations
Laundry and dry-cleaning workers,24232,21684,20020,21320,21424,Production occupations
Sewing machine operators,25636,22880,21060,20020,20956,Production occupations
"Power plant operators, distributors, and dispatchers",,,,,56732,Production occupations
Stationary engineers and boiler operators,51792,54288,46956,43160,44460,Production occupations
Water and wastewater treatment plant and system operators,45760,43316,43056,44824,40560,Production occupations
Miscellaneous plant and system operators,,,,,,Production occupations
"Chemical processing machine setters, operators, and tenders",54704,42536,,44252,44356,Production occupations
"Crushing, grinding, polishing, mixing, and blending workers",33904,35672,37232,32656,34268,Production occupations
Cutting workers,35620,,,27248,26936,Production occupations
"Inspectors, testers, sorters, samplers, and weighers",36920,37856,38532,37908,35100,Production occupations
"Medical, dental, and ophthalmic laboratory technicians",33696,32552,36452,30420,31824,Production occupations
Packaging and filling machine operators and tenders,26936,25480,25376,25012,23660,Production occupations
Painting workers,36816,36088,34528,32552,31304,Production occupations
"Production workers, all other",32500,32292,30472,30368,30108,Production occupations
Transportation and material moving occupations,33592,33124,32188,32292,31928,Transportation and material moving occupations
Supervisors of transportation and material moving workers,46488,43108,45864,42224,39572,Transportation and material moving occupations
Aircraft pilots and flight engineers,90220,74204,95940,74880,75972,Transportation and material moving occupations
Flight attendants,43992,44564,39884,40300,41132,Transportation and material moving occupations
Bus drivers,31980,31304,30108,31252,31616,Transportation and material moving occupations
Driver/sales workers and truck drivers,38844,38064,37960,37960,36660,Transportation and material moving occupations
Taxi drivers and chauffeurs,30420,31616,27092,28808,28756,Transportation and material moving occupations
